country_name,country_code,year,electricity_access_pct,access_gap_pct,is_nigeria,gdp_usd,gdp_billion_usd,gdp_growth_rate_pct,gdp_per_capita_usd,energy_use_per_capita
Nigeria,NGA,2000,43.2,56.8,True,69171451627.2465,69.17145162724651,,547.318298903379,274.074132064522
Nigeria,NGA,2001,43.9,56.1,True,73557840064.489,73.557840064489,6.341327721268608,566.428231812933,283.010546626806
Nigeria,NGA,2002,44.6,55.4,True,95054059302.6995,95.0540593026995,29.223559608825546,712.164852077686,283.767136886797
Nigeria,NGA,2003,52.2,47.8,True,104738954264.226,104.738954264226,10.188828370480184,763.388745367223,296.852571416246
Nigeria,NGA,2004,46.1,53.9,True,135764731645.611,135.764731645611,29.62200415245311,962.48104194733,286.383177568012
Nigeria,NGA,2005,46.8,53.2,True,175670569969.346,175.67056996934602,29.393376203108403,1211.37703504386,305.406217610864
Nigeria,NGA,2006,47.6,52.4,True,238454997161.48,238.45499716148,35.73986650301737,1599.53891556365,287.970022263625
Nigeria,NGA,2007,50.1,49.9,True,278260846800.103,278.260846800103,16.69323357130854,1815.52697545827,281.735044345631
Nigeria,NGA,2008,50.3,49.7,True,339476276257.793,339.476276257793,21.999296761166676,2154.10543545364,287.532726671296
Nigeria,NGA,2009,50.0,50.0,True,295008835380.997,295.008835380997,-13.098836056228013,1820.48633854782,260.777838499638
Nigeria,NGA,2010,48.0,52.0,True,366990417129.04,366.99041712904,24.399805400770603,2202.25672957344,335.074608295017
Nigeria,NGA,2011,55.9,44.1,True,414466676831.16,414.46667683116,12.936648339083611,2418.41316975875,376.552072943772
Nigeria,NGA,2012,53.0,47.0,True,463971018239.281,463.971018239281,11.944106529048536,2633.19734671361,357.338084625584
Nigeria,NGA,2013,55.6,44.4,True,520117180313.906,520.117180313906,12.101221815037832,2872.79083379398,351.718781805646
Nigeria,NGA,2014,54.2,45.8,True,574183763411.508,574.183763411508,10.395077329491652,3088.72131316169,349.237811590683
Nigeria,NGA,2015,52.5,47.5,True,493026682800.63,493.02668280063,-14.134339175438182,2585.73360671797,320.318542380023
Nigeria,NGA,2016,59.3,40.7,True,404649125252.16,404.64912525216,-17.925512072986137,2070.4127339595,331.486140542982
Nigeria,NGA,2017,54.4,45.6,True,375745731053.427,375.745731053427,-7.1428287854870876,1876.34027111773,316.730326522651
Nigeria,NGA,2018,56.5,43.5,True,421739251509.08,421.73925150908,12.240596939506743,2057.87944554011,300.45746967174
Nigeria,NGA,2019,55.4,44.6,True,668219992691.462,668.219992691462,58.44387030621818,3189.81286498516,331.04474710561
Nigeria,NGA,2020,55.4,44.6,True,598586817819.073,598.586817819073,-10.420696123131535,2797.18458068686,324.45517224141
Nigeria,NGA,2021,59.5,40.5,True,609147716972.859,609.147716972859,1.7643053337299097,2787.48779224428,334.476501487262
Nigeria,NGA,2022,60.5,39.5,True,646950257577.814,646.950257577814,6.205808468398022,2899.16047470324,333.698006196423
