country_name,country_code,year,electricity_access_pct,access_gap_pct,is_nigeria,gdp_usd,gdp_billion_usd,gdp_growth_rate_pct,gdp_per_capita_usd,energy_use_per_capita
Ghana,GHA,2000,43.7,56.3,False,4982850662.20851,4.98285066220851,,253.746936203344,322.127334642966
Ghana,GHA,2001,44.8,55.2,False,5314872854.4405,5.3148728544405,6.663298074536916,263.542156494853,313.165728366048
Ghana,GHA,2002,46.8,53.2,False,6166197847.85031,6.16619784785031,16.017786628678053,297.46164468774,303.797214535662
Ghana,GHA,2003,48.3,51.7,False,7632723555.66221,7.632723555662211,23.783306082583255,358.39927142073,281.217826361178
Ghana,GHA,2004,50.8,49.2,False,8881417906.71432,8.881417906714319,16.359748154717145,406.132105329565,270.192103863779
Ghana,GHA,2005,41.3,58.7,False,10744568381.4456,10.7445683814456,20.978074608140517,478.611909191028,261.893368449293
Ghana,GHA,2006,55.1,44.9,False,20885037596.6963,20.8850375966963,94.3776320765188,906.441027564887,274.133659952501
Ghana,GHA,2007,56.9,43.1,False,24827339138.4906,24.8273391384906,18.87620035894939,1050.12461524926,263.025409302741
Ghana,GHA,2008,60.5,39.5,False,28679383241.0729,28.679383241072898,15.51533203415405,1182.65761256016,276.023736903457
Ghana,GHA,2009,61.1,38.9,False,26048720005.5233,26.0487200055233,-9.172663210490938,1047.70430093586,274.268692555035
Ghana,GHA,2010,64.2,35.8,False,32197655566.5347,32.1976555665347,23.605519041655775,1263.89251760539,296.099589771501
Ghana,GHA,2011,64.1,35.900000000000006,False,39336668080.559,39.336668080559,22.17246066028602,1507.43573198753,302.776311436787
Ghana,GHA,2012,56.5,43.5,False,41271701060.954,41.271701060954,4.919158319235839,1543.77524235764,328.520151456093
Ghana,GHA,2013,70.7,29.299999999999997,False,62845721959.827,62.845721959827,52.2731565316642,2294.79584693743,323.671149524462
Ghana,GHA,2014,78.3,21.700000000000003,False,54678533805.9064,54.678533805906405,-12.995615133741845,1949.90832923846,321.354700935333
Ghana,GHA,2015,74.0,26.0,False,49436806230.4839,49.4368062304839,-9.58644500971657,1722.77282833606,325.604049227551
Ghana,GHA,2016,79.3,20.700000000000003,False,56144179397.8516,56.1441793978516,13.567569749746045,1912.47991339951,327.930479432879
Ghana,GHA,2017,79.0,21.0,False,60385409434.8567,60.3854094348567,7.554175842433608,2012.28662641265,351.113971311685
Ghana,GHA,2018,80.4,19.599999999999994,False,67259353965.6087,67.25935396560871,11.383452716616205,2195.32166016377,378.657496575592
Ghana,GHA,2019,83.5,16.5,False,68352629246.1555,68.3526292461555,1.62546206005163,2186.65822682613,380.421155062376
Ghana,GHA,2020,85.4,14.599999999999994,False,70008243859.8666,70.0082438598666,2.422166684691529,2195.45481659987,392.373098140481
Ghana,GHA,2021,86.3,13.700000000000003,False,79514204730.3979,79.5142047303979,13.578344986854841,2445.18662529344,382.191892428598
Ghana,GHA,2022,85.1,14.900000000000006,False,73919003209.9866,73.9190032099866,-7.036732039743687,2229.89122647803,361.562855486466
Kenya,KEN,2000,15.2,84.8,False,12705350097.8044,12.7053500978044,,414.626365130846,460.259557885245
Kenya,KEN,2001,17.0,83.0,False,12986007425.8781,12.9860074258781,2.208969653832682,410.700452474814,452.428455522956
Kenya,KEN,2002,18.9,81.1,False,13147736898.5176,13.1477368985176,1.245413369448789,402.936385605382,445.351766080328
Kenya,KEN,2003,16.0,84.0,False,14904517649.8476,14.904517649847602,13.36184900024946,442.898457253405,435.103052843273
Kenya,KEN,2004,22.6,77.4,False,16095337093.8366,16.095337093836598,7.989654358262133,463.662781300121,449.67502007767
Kenya,KEN,2005,24.5,75.5,False,18737895512.7378,18.7378955127378,16.418161381119,523.456312433863,453.624918249435
Kenya,KEN,2006,26.4,73.6,False,25825512284.2891,25.8255122842891,37.8250415940959,699.80237063381,459.858505198544
Kenya,KEN,2007,28.3,71.7,False,31958195182.2406,31.9581951822406,23.746606961528904,840.201439476765,456.223752941816
Kenya,KEN,2008,30.3,69.7,False,35895153327.8497,35.8951533278497,12.319087868256396,915.54435473604,456.15344235827
Kenya,KEN,2009,23.0,77.0,False,42347217912.9176,42.3472179129176,17.974751427129256,1047.9678324485,470.588388726011
Kenya,KEN,2010,19.2,80.8,False,45405615063.7551,45.4056150637551,7.222191448625392,1091.51873101194,469.595821222952
Kenya,KEN,2011,36.2,63.8,False,46869473150.61,46.86947315061,3.2239582809294953,1096.14499807675,472.715162690229
